id,name,price,service_id
102,2TB,11000,33
103,50G,1100,34
104,200G,3300,34
105,2TB,11100,34
106,Basic,2400,35
107,Standard,3700,35
108,Premium,11900,35
109,Standalone 100G,2900,36
110,이모티콘 플러스,3900,37
111,톡서랍 플러스 100G,1900,37
112,톡서랍 플러스 250G,3900,37
113,톡서랍 플러스 500G,6900,37
114,톡서랍 플러스 1TB,9800,37
115,Nitro basic,3500,38
116,Nitro,9800,38
117,Student,8400,39
118,Basic,12000,39
119,Premium,25000,39
120,파머스 싱글 S,12900,40
121,파머스 싱글 M,21900,40
122,파머스 믹스 S,15900,40
123,파머스 믹스 M,24900,40
124,꾸까 꽃다발 M,27900,40
125,꾸까 꽃다발 L,37900,40
126,꾸까 꽃다발 XL,47900,40
127,담홥박스,39000,41
128,증류수 담화박스,49000,41
129,월간 제철나물 정기구독,15900,42
130,1켤레,6900,43
131,2켤레,7900,43
132,3켤레,9600,43
133,하루 한 끼 4주 동안 식단관리,185830,44
134,하루 한 끼 고르기 4주 동안 식단 관리,163680,44
135,월간 과자 - 소확행팩,9900,45
136,월간 과자 - 마니아팩,19800,45
137,월간 아이스,14900,45
138,월간 생빵,11900,45
139,Poster Membership,12900,46
140,BOOK membership,17900,46
141,VINYL membership,57900,46
142,스탠다드,39000,47
143,프리미엄,100000,47
144,ADVENTURE,49000,48
145,SUPER HERO,69000,48
146,침구류 구독 서비스,18000,49
147,10호 이하 (약 50 x 45cm),39000,50
148,20호 이하 (약 70 x 60cm),69000,50
149,30호 이하 (약 90 x 70cm),99000,50
150,40호 이하 (약 100 x 80cm),120000,50
151,60호 이하 (약 120 x 90cm),150000,50
152,80호 이하 (약 145 x 110cm),200000,50
153,100호 이하 (약 160 x 130cm),250000,50
154,의류,79000,51
155,가방,79000,51
156,투게더,149000,51
157,개인,10900,52
158,듀오,16350,52
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
